City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
2,Port Alfred,ZA,67.37,few clouds,-33.5906,26.891,The Halyards Hotel
4,Ushuaia,AR,42.8,light snow,-54.8,-68.3,Albatros Hotel
5,Souillac,MU,75.2,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Katsuura,JP,69.01,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
7,Turbat,PK,80.83,clear sky,26.0023,63.044,Mubashar Quarters
8,Nicoya,CR,78.8,clear sky,10.1483,-85.45200000000001,Guayacan Real
9,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
11,Esperance,AU,69.8,broken clouds,-33.8667,121.9,Hospitality Esperance
12,Cidreira,BR,73.51,light rain,-30.1811,-50.2056,Hotel Castelo
13,Selma,US,59.0,few clouds,36.5708,-119.6121,Holiday Inn Selma-Swancourt
14,Mweka,CD,66.79,overcast clouds,-4.85,21.5667,
15,Rocha,UY,68.0,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
16,Bredasdorp,ZA,60.8,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
20,Dicabisagan,PH,82.85,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
21,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Busselton,AU,73.0,clear sky,-33.65,115.3333,Observatory Guest House
25,Pilar,BR,75.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
26,Olga,RU,44.44,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
27,Masumbwe,TZ,62.17,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
28,Espinosa,BR,67.21,clear sky,-14.9261,-42.8192,Hotel Vilma
30,Puerto Del Rosario,ES,71.6,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
32,Rikitea,PF,79.95,overcast clouds,-23.1203,-134.9692,Pension Maro'i
33,Bluff,NZ,64.0,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
35,Kapaa,US,71.6,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
36,Eyl,SO,77.11,broken clouds,7.9803,49.8164,Amiin Hotel
38,Viedma,AR,52.86,overcast clouds,-40.8135,-62.9967,Hotel Cristal
39,Lebu,CL,52.32,clear sky,-37.6167,-73.65,Hostal Las Lilas
41,Pangai,TO,84.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
45,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Kirkuk,IQ,53.62,clear sky,35.4681,44.3922,Cihad Oteli
47,La Solana,ES,48.99,overcast clouds,38.9442,-3.2381,Apartamento Prado
50,Hermanus,ZA,62.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
